family	n	equivalent	term_pairs	scans	candidates	backtracks	ref_steps	ref_raw	ref_answers	ref_elapsed_us
labelled	0	true	0	0	0	0	7	2	1	15
labelled	2	true	2	3	2	0	11	2	1	12
labelled	4	true	4	10	4	0	15	2	1	34
labelled	6	true	6	21	6	0	19	2	1	840
labelled	8	true	8	36	8	0	23	2	1	42241
symmetric	0	true	0	0	0	0	7	2	1	6
symmetric	2	true	2	3	2	0	11	2	1	16
symmetric	4	true	4	10	4	0	15	2	1	23
symmetric	6	true	6	21	6	0	19	2	1	714
symmetric	8	true	8	36	8	0	23	2	1	51865
disconnected	4	false	24	20	16	16	15	2	2	31
disconnected	6	false	78	78	60	60	19	2	2	777
disconnected	8	false	184	200	152	152	23	2	2	56929
