family	n	equivalent	term_pairs	scans	candidates	backtracks	ref_steps	ref_raw	ref_answers	ref_elapsed_us
labelled	0	true	0	0	0	0	7	2	1	14
labelled	2	true	2	3	2	0	11	2	1	8
labelled	4	true	4	10	4	0	15	2	1	23
labelled	6	true	6	21	6	0	19	2	1	580
labelled	8	true	8	36	8	0	23	2	1	42025
symmetric	0	true	0	0	0	0	7	2	1	7
symmetric	2	true	2	3	2	0	11	2	1	13
symmetric	4	true	4	10	4	0	15	2	1	23
symmetric	6	true	6	21	6	0	19	2	1	739
symmetric	8	true	8	36	8	0	23	2	1	52708
disconnected	4	false	24	20	16	16	15	2	2	32
disconnected	6	false	78	78	60	60	19	2	2	801
disconnected	8	false	184	200	152	152	23	2	2	57604
